dia_li,gdcd,hoa_hoc,lich_su,ngoai_ngu,sbd,sinh_hoc,toan,van,vat_li
5.75,7.50,,4.50,N1:3.60,33000145,,6.60,7.50,
5.50,7.50,,5.25,N1:5.20,33000146,,8.40,7,
5.50,6.25,,4.75,N1:3.60,33000147,,4.20,7.25,
6.75,7.75,,6.75,N1:3,33000148,,6.80,7,
7,8.25,,5,N1:7.60,33000149,,8.40,9.25,
6,8,,6,N1:3,33000150,,5.20,8.25,
5.75,7.75,,4,N1:2.80,33000151,,3,5.75,
5.75,5,,4,N1:3.40,33000152,,5.20,5.75,
8.25,8.25,,4.25,N3:2.80,33000153,,7.80,7.25,
6.25,7,,3.25,N1:2.40,33000154,,3.80,7.25,
8,9,,6.75,N1:6,33000155,,8.60,8,
8,8.75,,8.25,N1:5.20,33000156,,8.40,8,
5.75,8.75,,3.75,N1:7.60,33000157,,7.40,8.25,
7,8.50,,8,N1:4.60,33000158,,6.20,5.75,
7,7.25,,4.75,N1:4.80,33000159,,6,7.50,
8,9,,7,N1:3.40,33000160,,7.40,7.75,
6.75,8.50,,6,N1:3.60,33000161,,8.20,6.50,
8,7.50,,8.25,N1:2.20,33000162,,6.80,7.75,
7.25,9.25,,5.25,N1:7.80,33000163,,8.20,8,
8.25,9.50,,8.25,N1:5.20,33000164,,7.20,6,
4,6.25,,3.50,N1:2.60,33000165,,2.60,6.50,
5.25,6.75,,4.50,N1:4.60,33000166,,6,7.25,
6.25,7,,4.75,N1:3.80,33000167,,3.80,5.75,
,,8,,N1:4.60,33000168,4.75,8.60,6.50,8
8,8.25,,5,N1:2.60,33000169,,5.60,6.75,
5.50,9.50,,5.75,N1:6,33000170,,7.60,8.50,
,,7.75,,N1:5.40,33000171,5.25,8.40,6.75,8.25
6.75,8.50,,7,N1:4.40,33000172,,8.20,5.25,
,,7.50,,N1:3.20,33000173,4.25,7.80,6.50,6.75
,,8.50,,N1:3.20,33000174,4.50,9.40,5.75,7.75
6.25,7.75,,3.75,N1:3.80,33000175,,6,5.75,
8.75,9.50,,7,N1:3.20,33000176,,6.80,7.50,
5.75,7.50,,4.50,N1:4.40,33000177,,5.80,8,
6,4.25,,4.25,N1:3.20,33000178,,2,5.75,
7.25,9.75,,7.50,N1:4.60,33000179,,7.20,6.50,
,,4.50,,N1:4.60,33000180,6.75,7,6.25,6.25
7.50,9,,6,N1:5.80,33000181,,5.80,8.75,
,,8,,N1:5.60,33000182,5.25,8.20,7.25,8.25
7.25,7.75,,6.75,N1:3,33000183,,4.40,6,
4.50,6,,2.75,N1:3.40,33000184,,6.60,6.50,
