dia_li,gdcd,hoa_hoc,lich_su,ngoai_ngu,sbd,sinh_hoc,toan,van,vat_li
6.50,8,,8.75,N1:7.40,33004274,,8.80,7.25,
,,8.50,,N1:4.40,33004275,5.50,9,5.75,9
7.25,,,8,,33004276,,1.80,,
,,5.75,,N1:7.40,33004277,6.25,9.40,6.75,7
,,9.50,,N1:6,33004278,9,9.80,6,4.75
,,8.25,,N1:7.60,33004279,5.75,9.20,7.25,7.75
7,8.50,,5.75,N1:6,33004280,,7.40,8.50,
7,8.25,,4.25,N1:6,33004281,,7,7.50,
,,6.50,,N1:7.20,33004282,6,8.80,6.75,7.25
,,7.75,,N1:7.60,33004283,8,9.40,5.25,4
,,6,,N1:7.20,33004284,4.25,9.40,7.75,8.25
,,9.25,,N1:4.20,33004285,8.75,9,6,4
,,,3.25,,33004286,,2.60,6.50,
,,4.50,,,33004287,,5.40,,3
,,9.25,,N1:4.40,33004288,5,9,6.75,8.25
7.25,8.75,,6.75,N6:6.40,33004289,,7.60,7.75,
8,7.75,,4.50,N6:4.20,33004290,,6.40,8,
,,5.75,,N1:4.80,33004291,5,8.40,7,7.25
,,7.25,,N1:9.20,33004292,6.50,9,8.25,8.50
7.25,,,5.25,,33004293,,6.80,6.75,
,,8.75,,N1:5.40,33004294,4.75,8.80,7.75,8
,,7.75,,N1:3.40,33004295,7.25,8.20,6.50,5.50
6.50,8.25,,5.25,N1:7.60,33004296,,8.80,8.50,
8.50,8.25,,6.50,N1:7.80,33004297,,8.40,9,
5.75,7.50,,3.25,N1:7.80,33004298,,8.60,8.50,
,,6.50,,N1:7.20,33004299,6,8.60,6.75,7.75
5.25,8,,4.25,N1:7.40,33004300,,9.40,8.75,
7.25,7.75,,5,N1:9,33004301,,8.60,7.75,
,,4.50,,,33004302,3.25,6.80,,4
,,5.50,,,33004303,1.25,8.40,,7.25
,,4.75,,N1:8.60,33004304,3.50,9.20,8.25,8.25
,,7,,N1:7.40,33004305,6.50,8.80,7.50,8
6.75,,,4,,33004306,,1.80,7,
,,8.75,,N1:3.60,33004307,5.25,8.60,7.25,8
,,7.25,,N1:4.80,33004308,6,8.80,7.50,8
,,,9.50,,33004309,,9,8.50,
,,7.75,,N1:5.20,33004310,4.50,8.40,8.75,5.75
,,,4.50,,33004311,,4.60,6.50,
,,,5.50,,33004312,,6.20,6.75,
,,8,,N1:4.80,33004313,7.50,8.40,5.50,4.75
,,8.50,,N1:5.20,33004314,4.25,9,6.50,8.25
,,5.75,,N1:8.60,33004315,5,8.20,6.75,9.25
7.50,8.50,,6.75,N1:7.60,33004316,,7.80,7.75,
7.50,8.25,,5.50,N1:7,33004317,,8.60,8.25,
6.75,10,,6.75,N6:7.80,33004318,,8.20,7.75,
,,6.75,,N1:5,33004319,8.25,8.60,7.50,3.25
,,4.25,,N1:7.40,33004320,6.75,8.60,8,8.50
8,7.50,,5.25,N1:8,33004321,,8.40,8,
9,8.75,,8,N1:7.60,33004322,,7.40,9,
,,7.25,,N1:7.40,33004323,5.25,8.60,4,8
,,8,,N1:5.40,33004324,5.25,9.20,4,9
,,4,,N1:6.60,33004325,6,8.20,6.75,5.50
,,8.25,,N1:5.20,33004326,,8.20,,6
,,7.75,,N1:3.80,33004327,4,9.40,7.50,9
,,9,,N1:3.80,33004328,2.25,8.40,6,6.50
,,8.25,,N1:4.80,33004329,5.25,8.80,6.50,8.75
,,8.25,,N1:6.60,33004330,4.75,9.40,9,8.25
8,8.50,,6.50,N1:7.40,33004331,,9,8,
,,6,,N1:8.60,33004332,4.25,8.60,7.25,8.25
,,,,N1:6.80,33004333,,6.40,6.75,
8,9.50,,8.75,N1:8.40,33004334,,8.80,7.25,
,,4.75,,N1:7.40,33004335,5,9,6,8.50
,,9,,N1:3.20,33004336,5.50,10,6,8.75
,,4,,N1:8.40,33004337,4.50,8,7.75,5.25
,,8.75,,N1:6.20,33004338,8,9,6.75,4
,,8.25,,,33004339,8,8.60,,
,,8.25,,N1:4.80,33004340,6.75,8.80,7,8.25
,,5.50,,,33004341,3.75,8,,6.25
,,8,,N1:7,33004342,6.25,8.60,6.75,7.50
,,8.25,,N1:4.20,33004343,9.25,9,6.25,5.50
7,8,,4.50,N1:7.20,33004344,,7.80,8,
,,5.75,,N1:6.20,33004345,5.75,8.80,8.25,8
6.75,7.50,,5.50,N1:7.20,33004346,,8.40,8,
6,7.75,,3.75,N1:6.40,33004347,,7,7.75,
,,8,,N1:4,33004348,5.25,8.40,6.25,7.50
6.50,8.50,,5.50,N1:4.40,33004349,,7,7.75,
7,8.25,,5.50,N1:5.60,33004350,,8.80,7.75,
8,8.50,,4.25,N1:6.60,33004351,,8.80,7.75,
,,8.75,,N1:6.40,33004352,6,8.60,7.25,7.50
7,7,,4,N1:5.80,33004353,,7.60,6.75,
8,8.75,,9,N1:6.80,33004354,,7.80,7.75,
,,8.25,,,33004355,,9.40,,7.75
,,7.75,,N1:4,33004356,4.50,8.80,6.50,7.75
7.25,,,5.25,N1:5.80,33004357,,,7.75,
,,8,,N1:3.40,33004358,6.50,8.80,6,3
,,9.25,,N1:5.40,33004359,10,9.80,7,5.25
,,8.75,,N1:7.20,33004360,6.75,9.40,8.75,8.50
6.25,,,4.25,,33004361,,5,8.25,
,,,5.25,,33004362,,3.60,7,
,,,,N1:4.60,33004363,,5.40,,5.25
,,6.25,,N1:8.60,33004364,5.25,8.80,8,8
,,5.25,,N1:7.60,33004365,4.75,8.60,7,8.50
5.50,8.75,,5.25,N1:7.80,33004366,,8.40,6.25,
,,6,,N1:7.60,33004367,5.25,8.80,7,8.25
8.75,8.75,,8.75,N1:6.40,33004368,,7.60,7.50,
7.50,8.25,,4,N1:5.60,33004369,,7.60,8.25,
8.75,9.75,,9.25,N1:7,33004370,,8.80,8,
,,7.25,,N1:9.40,33004371,6,8.20,8,7.50
9.25,,,9.25,,33004372,,,7,
6.25,7.50,,5.75,N1:5.20,33004373,,8.40,7,
,,2.75,,N1:6.60,33004374,3.75,8.80,5.75,6.75
,,6,,N1:6.20,33004375,5,7.60,6.50,7.75
,,7.75,,N1:5.60,33004376,5.75,9.20,7.50,7.25
,,8.50,,N1:4.80,33004377,3.50,8.80,5.67,8.50
7.25,7.75,,6.25,N1:7.40,33004378,,7.20,7.50,
8,8,,5.25,N1:5.40,33004379,,7.80,6.75,
,,8.25,,N1:8.60,33004380,6.25,9.40,7,9
5.75,,,4.75,,33004381,,2.20,4.50,
8,,,,N6:7.80,33004382,,,6.25,
5.75,,,6.50,,33004383,,3.40,4.75,
,,7.25,,N1:7.40,33004384,3.50,8,6.50,6.75
,,,6.50,,33004385,,3,5.75,
,,8.25,,N6:7.80,33004386,5.50,9.20,5.75,7.25
5.25,,,2.25,,33004387,,2.60,3.75,
6.75,,,5,,33004388,,7,7.50,
,,6,,N1:8,33004389,5.25,7.80,5.75,8.50
,,7.75,,N1:4,33004390,7.50,7.80,7.25,4
8.50,8.50,,6.25,N1:7.40,33004391,,8,8.50,
7,8,,4,N1:7.80,33004392,,8.20,8,
8,8.50,,5.75,N1:4.60,33004393,,6.60,8,
,,7,,N1:7.60,33004394,5.75,9,7,8
,,4.25,,N1:7,33004395,4.50,8.20,8,6.75
7.25,9,,5,N1:5.60,33004396,,7.80,7.25,
7.25,,,,N1:5.40,33004397,,,8,
,,6.25,,N1:8,33004398,5.25,8.80,7.50,8
,,6.25,,N1:5.60,33004399,4.50,9,7.17,6.75
,,4.75,,N1:8.20,33004400,3.50,8.20,5,8.25
2,,,3.25,,33004401,,3,2,
,,8,,,33004402,8,9,,
,,9.25,,N1:5.40,33004403,8,8.60,7.75,5
,,8,,N1:5.40,33004404,6.25,8.20,7.50,4.75
8,8,,7,N1:6.40,33004405,,7,8.25,
,,6.25,,,33004406,6.50,8,,
,,,4,,33004407,,3.60,5.75,
,,8.50,,N1:6.20,33004408,3.50,9,7.50,8.25
2.25,,,6.25,,33004409,,3.20,5.75,
7.75,9,,7.50,N1:7.80,33004410,,8.60,8.75,
,,5,,N1:7.80,33004411,5.25,8.60,5.75,8.50
,,5.75,,N1:8.20,33004412,5.75,9,6.75,7.75
9.50,9.25,,9.25,N1:9.20,33004413,,7.60,8.50,
7.75,8.75,,6,N1:7,33004414,,6.80,7.75,
7,8.25,,6.50,N6:9.80,33004415,,8.60,7,
,,8.25,,N1:6,33004416,5.25,8.40,6.25,6
7.75,9,,6,N1:7.80,33004417,,8.80,8.75,
,,7.75,,N1:7.80,33004418,6,9.60,7.25,7.50
,,4.50,,N1:8.60,33004419,4.75,9.20,7,8.50
8.25,9.25,,7.25,N1:6.20,33004420,,7.40,8,
,,5,,N1:8.20,33004421,5.25,9.40,6,8.25
,,8.25,,N1:6.40,33004422,8.50,8.80,5.50,4.25
7,8,,5.25,N6:5.40,33004423,,6.80,8,
9,9,,8,N1:7.20,33004424,,8.80,9,
,,7.25,,N1:8.60,33004425,5.50,9.40,6,7.75
9.50,9.25,,7.25,N1:8.80,33004426,,6.80,8.50,
7.50,8.50,,4.75,N1:7.60,33004427,,8,7.75,
,,4.50,,N1:8.20,33004428,5,9,8.50,8
8.50,9,,3.75,N1:7.40,33004429,,7.20,8.25,
,,8.75,,,33004430,8.50,9.20,,
,,9.50,,N1:8.40,33004431,7.25,8.60,8.75,7.75
,,8,,N1:5,33004432,7.50,8.80,8.25,4.25
,,7.25,,N1:4,33004433,5,8.60,6.50,7.75
7.75,9,,7.50,N1:9.40,33004434,,9,8.75,
,,9.25,,N1:6.80,33004435,7.25,9.40,7.25,6.25
,,4.25,,N1:6.40,33004436,4.75,8.60,7.50,8.50
7.25,8.75,,6.25,N1:7.40,33004437,,8,8.50,
4.75,6.75,,5.50,N1:8,33004438,,8.40,9,
6.50,9.50,,7.75,N1:7,33004439,,7.80,9,
,,7.75,,,33004440,7.25,8.80,,3.25
,,8.25,,N1:5.60,33004441,6,8.60,4,7.75
,,4.75,,N1:6.20,33004442,4.25,10,5,8.75
,,8,,N1:6,33004443,7.25,8.20,3.75,2.50
,,,5.50,,33004444,,5,,
,,8,,N1:4,33004445,3.25,7,4.75,6.25
,,8.75,,N1:5,33004446,5.25,7.80,6,7.75
,,9.50,,N1:8.20,33004447,9,9.20,7.75,6.75
,,,9.25,,33004448,,9,9,
,,7.50,,N1:6.40,33004449,6.75,9.20,5.50,8.75
,,8,,N1:4.40,33004450,3.25,8.20,6.50,7
,,8.50,,N1:6.20,33004451,6,8.80,7.50,8
,,6.75,,N1:6.40,33004452,5.50,8.20,7.50,7
9,9,,7.75,N1:7.40,33004453,,9,9,
6.75,9.25,,6.75,N6:8.60,33004454,,7.80,8.75,
6.75,,,6.75,,33004455,,,7,
,,7.75,,N1:6.20,33004456,6.50,8,5.50,5.50
,,,,N1:6,33004457,,7.80,5,
8,9,,3.50,N1:6.60,33004458,,6.80,8.75,
,,6,,N1:6.60,33004459,4,8.40,7.50,8.50
7.25,9,,8.25,N1:6.20,33004460,,8,8.25,
,,6.25,,N1:9.20,33004461,5.75,9,7,7.25
,,7.50,,N1:5.80,33004462,5.75,9,6.25,7.50
,,4.75,,N1:6,33004463,4.50,8.20,6,7.50
6.75,7.50,,5.75,N1:7.60,33004464,,6.40,7.25,
,,5.50,,,33004465,,8,,4.75
,,4,,N1:7.40,33004466,4,8.80,4.50,7.75
,,8.25,,N1:6.60,33004467,5.50,9,5.25,6.75
,,7.75,,N1:5,33004468,7.50,7.40,4.75,7.50
7.75,9,,5.75,N1:8.20,33004469,,7.20,7.50,
,,4.75,,N1:8.40,33004470,1.75,8.40,7.25,7.50
6.75,,,6.50,,33004471,,5.60,6,
,,5.50,,N1:8,33004472,7,8.80,4.50,8.50
8.75,7.75,,9.25,N1:9.20,33004473,,8.40,7,
,,,2.50,,33004474,,2.60,5.50,
5,,,4,,33004475,,2.60,4,
,,,9.25,,33004476,,8.60,7.75,
,,7,,N1:7.60,33004477,6.50,8.60,8.25,8.75
,,6.25,,N1:8,33004478,6.25,8.40,6.50,8.50
8,,,8.75,,33004479,,6.20,6.75,
7.50,8.25,,7.25,N1:5.20,33004480,,6.40,3.50,
,,,,N1:4.80,33004481,,7.60,7.25,
,,8.75,,N6:7.80,33004482,5.50,8.60,7,8
9.25,9.25,,6,N1:7.40,33004483,,6.60,9,
5.75,8,,4.75,N1:6.80,33004484,,8.60,8.50,
7.75,7.25,,4.25,N1:6,33004485,,7,8.75,
7.25,7.75,,4,N1:7,33004486,,7.60,9,
6.25,8.50,,5,N1:8.20,33004487,,8.20,7.50,
6.50,8.50,,6.25,N1:6,33004488,,7.40,7.75,
7.25,9.25,,7.50,N1:7.40,33004489,,8.40,8.25,
,,8.25,,N1:5,33004490,8.75,9.40,8,5.25
,,9.50,,N1:6,33004491,5,9,7.75,8.25
,,8.50,,N1:8,33004492,8.50,9,7.50,5.75
6.25,9,,4,N6:8,33004493,,8.40,8,
,,8.25,,N1:5.20,33004494,4.25,9,6.25,8
7.75,8,,5.75,N1:7.80,33004495,,7.60,8.25,
,,7.50,,N1:2.80,33004496,7.75,8.80,7.50,4.25
,,7.50,,N1:8.20,33004497,8,9.40,6.75,8.50
,,7.75,,N1:6.20,33004498,7.75,8.20,6.75,3.25
,,7.25,,N1:8.60,33004499,5.50,8.60,7.50,8.25
,,7,,N1:4.80,33004500,6.50,8.80,6.50,7.75
,,8.75,,N1:5.20,33004501,4,9.20,6.75,7.50
7.50,,,5.50,,33004502,,7.60,7.75,
,,8.50,,N1:2.80,33004503,3,8.80,6.75,8.25
4.50,,,2.50,,33004504,,5.40,6.25,
,,7.75,,N1:4.60,33004505,3.50,8.60,4,7.75
8,8.25,,8.25,N6:5.20,33004506,,8.60,8,
,,9.75,,N1:4.80,33004507,4.75,9.60,5.25,9.25
,,7.75,,N1:5,33004508,8,9.20,7.75,3.50
8.25,8.25,,6.50,N1:7.60,33004509,,6.40,8.50,
,,5,,N1:7.20,33004510,3.75,9,6.25,8.50
,,8,,N1:6.20,33004511,7,9,8.50,9
,,5,,N1:8.20,33004512,6.25,8.60,8.25,8.75
6.25,9,,6.75,N1:9.20,33004513,,8,6.75,
,,7.75,,N1:7,33004514,5.50,8.60,8.25,6.50
7.50,8.50,,4.25,N1:6.80,33004515,,7.60,8,
,,8.75,,,33004516,8.50,9.20,,
,,4,,N1:6.60,33004517,5,8.20,6.75,7.75
,,5,,N6:6.80,33004518,6.50,8.60,8.25,5.75
,,6.75,,N1:3.60,33004519,6.75,7.60,5.75,3.75
8.50,7.25,,8.25,N1:7.20,33004520,,,8.50,
7.25,8.75,,4.75,N1:7.20,33004521,,8.40,7.75,
,,6.75,,N1:7.80,33004522,5.75,9.60,6.50,8.25
7.25,8.25,,5.25,N1:8.20,33004523,,7.80,5.50,
,,4.25,,N1:6.40,33004524,4.75,8.80,9.25,8
6.75,7.50,,5.25,N1:3.20,33004525,,7.40,7.50,
6,7.75,,5.25,N1:5.20,33004526,,8.20,8.50,
,,,,N1:5.80,33004527,,7.20,,6.50
,,4.75,,N1:8,33004528,4,8.20,5.50,6.75
,,8.25,,N1:3,33004529,3.50,9,7.50,8.75
,,,8.25,,33004530,,7.20,6.50,
,,8.75,,N1:5.60,33004531,5.25,9,8,7.75
5.25,7.50,,3.50,N1:4.80,33004532,,7.60,7.25,
,,9,,N1:5,33004533,7.75,9.40,4.75,5.75
,,7.75,,N1:5,33004534,8,9.20,6.75,4
,,,9.25,,33004535,,7.80,7.50,
,,7.25,,N1:8.80,33004536,5.50,8.80,8.25,8.50
,,,6.75,,33004537,,7.20,7.75,
,,6.25,,N1:7.60,33004538,4.75,8.40,7.75,7.50
6.25,8.25,,5,N1:7.40,33004539,,8.80,8.25,
,,7.75,,N1:5.40,33004540,8,8.40,7.25,4.50
8,7.75,,2.75,N1:6.60,33004541,,7.20,7.50,
,,6.50,,N1:7.80,33004542,5.50,9,7.50,7.25
6.75,8.25,,3.75,N1:3.80,33004543,,7.60,8.50,
6.25,8,,5.50,N6:7.20,33004544,,8.20,8.50,
,,,5.75,,33004545,,3.60,5,
7.50,8.25,,6.75,N1:8.40,33004546,,8.40,7.75,
,,8,,N1:3.80,33004547,4.75,9.20,5.25,8.75
,,,,N1:2.60,33004548,,1.80,3.75,
,,,5.25,,33004549,,3.40,2.75,
,,8.75,,N1:4.80,33004550,7,8.80,7,5.25
,,6,,N1:9,33004551,7,8.60,8.75,5.25
8.75,8.50,,9.50,N1:4.40,33004552,,7,9.25,
8.50,7.75,,5,N1:7.20,33004553,,7.80,7.50,
,,8.50,,N1:6.40,33004554,5,9,5.75,8.25
6.75,8,,4.50,N1:4.60,33004555,,8.60,6.50,
,,8.50,,N1:5,33004556,7.25,7.80,7.25,7.50
,,8.75,,N1:5.80,33004557,9,8.60,7.50,4.25
,,8,,N1:5.80,33004558,6.50,8.80,7,7
8.50,8,,4.75,N1:5.40,33004559,,5,7.50,
,,7,,N1:6,33004560,9.75,7.60,7,4
,,,,N1:2.60,33004561,,4,,3
,,,4.75,,33004562,,4.40,7.25,
,,2.50,,,33004563,,2.60,,2.25
,,7.50,,N1:8.40,33004564,6.50,7.60,7,8
,,6.50,,N1:8.60,33004565,7,8.60,6.50,7.75
,,5.25,,N1:6.60,33004566,4.50,8.60,5.75,7.75
,,8.50,,N1:5.20,33004567,5.50,8.60,6.75,8
,,6.25,,N1:7.20,33004568,5,7.40,8,7.75
,,8.25,,N1:5.60,33004569,4.25,7.20,7,7.75
,,7.50,,N1:6.60,33004570,3.25,8.40,5.75,7.75
7.25,8.25,,4.25,N1:6.60,33004571,,7.80,8.50,
,,2.75,,N1:5.60,33004572,4,9,7,7.75
,,4.50,,N3:7.80,33004573,5.50,7.40,7.25,7.50
,,9.50,,N1:6.20,33004574,9,9.20,8,7
,,6,,N1:5.80,33004575,4.50,7.60,8,5
6.75,7.25,,5.50,N1:5,33004576,,8.20,7.83,
,,6.50,,N1:7.60,33004577,6.50,9.20,7.25,8.75
,,,9.25,,33004578,,6.40,8.75,
,,7,,N1:5.60,33004579,4.75,8.80,6.75,8.50
,,8.50,,N1:4.40,33004580,5,9.20,7,7.25
,,8.50,,N1:6.60,33004581,6,9.40,7.75,8.50
,,6,,N1:7,33004582,5,9,7,7.75
7.50,8.25,,5.75,N3:4.60,33004583,,8.20,7.50,
,,5.50,,N1:7.20,33004584,5.75,8.60,7.25,8.75
,,,7.75,,33004585,,3.20,5.25,
,,8.25,,N1:5.60,33004586,6.50,9.20,7.75,8
,,8,,N1:3.40,33004587,4.25,9,7.25,7.50
,,,9.50,,33004588,,7.20,8.25,
,,6.75,,N1:8.40,33004589,5.50,8.20,5,8.25
,,,6.75,,33004590,,7.40,6,
,,8.50,,N1:6.20,33004591,8.50,9.20,7.50,8
,,,7.25,,33004592,,5.20,7.50,
,,7.25,,N1:3.40,33004593,5.75,7.60,6.83,7.25
,,,8,,33004594,,6.40,7.25,
,,,6.25,,33004595,,6.20,5.50,
,,7.75,,N1:6.20,33004596,5.50,8.80,5.50,8
,,,4.50,,33004597,,2.80,5,
,,3.25,,N1:6.60,33004598,4.50,8.40,5.25,7.75
,,8.75,,N1:6.20,33004599,5.75,9.40,7.75,8.25
,,5.75,,N1:6.60,33004600,5.25,8.80,9,8.50
,,8,,N1:4.80,33004601,8.25,9.20,7.25,3.25
6.75,8.25,,5.50,N1:7.40,33004602,,8.40,9.25,
,,5.50,,N1:6.20,33004603,3.25,8.20,7.75,6.25
,,8,,N1:7.80,33004604,6.25,6.60,6.67,6
,,8.75,,N1:6.60,33004605,6,9,7.25,7.75
,,,,N1:1.20,33004606,,2.20,,1.50
,,,5.50,,33004607,,2.40,5.75,
,,,4.50,,33004608,,5.60,7.25,
,,7.75,,N1:6,33004609,5.25,7.60,6.25,7.25
8.75,9.50,,10,N1:7.60,33004610,,5.40,8,
,,8.75,,N1:5.20,33004611,3,9.40,6.50,8.75
,,,6,,33004612,,7,7.75,
,,,8.50,,33004613,,6.20,7,
6.25,8.50,,6,N1:7.20,33004614,,8.20,9.25,
8.50,9,,6.50,N1:6,33004615,,9,8,
,,,8.50,,33004616,,7.80,7.50,
,,7.25,,N1:5.60,33004617,3.75,9.20,6.75,7
,,6.50,,N1:7.20,33004618,3.50,8.60,7.50,7
7.50,8,,6,N1:6.40,33004619,,8.60,8,
8.25,7.75,,4.25,N1:5.40,33004620,,7.40,8.50,
,,3.75,,N1:5.60,33004621,3.50,8,7.25,8.75
,,,,N1:4.80,33004622,,2.80,,4
,,7.50,,N1:2.80,33004623,5.25,8.80,6.25,7.75
,,,8.50,,33004624,,8.60,7.25,
,,8,,N1:9,33004625,5.25,9.20,7,8.25
,,,3.50,,33004626,,2.20,4.25,
,,3.75,,N1:2.40,33004627,3.75,6.40,6.25,5.50
,,6.50,,N1:8.20,33004628,4.50,8.60,4,7.75
,,7.75,,,33004629,,8.40,,7.75
,,,6.75,,33004630,,7.60,6.50,
,,8.25,,N1:3.40,33004631,5.25,8.80,8,7.75
,,8,,N1:4.80,33004632,5,8.60,6,7.75
,,8.25,,N1:4.80,33004633,6.75,9,6,4.25
,,5.25,,N1:7.20,33004634,4.25,7.80,6.25,6.75
,,8.75,,N1:3,33004635,8.50,9,6.75,2.50
,,3.50,,N1:7.20,33004636,4,9.20,6.50,8.25
,,,4.25,,33004637,,2.60,5.50,
,,9.75,,N1:7.40,33004638,5,9.60,6,6.25
,,,2.50,,33004639,,4,6,
,,,4.25,,33004640,,2.40,6.25,
,,7,,,33004641,,7,,7.50
,,5,,N1:6.60,33004642,4.75,8.80,6.50,7.75
,,8.75,,N1:2.80,33004643,6,8.80,6.25,8.50
,,6.50,,N1:7.60,33004644,6.25,8.60,7,8
,,,5.75,,33004645,,8,6.75,
7,9,,5.25,N1:6.60,33004646,,9,8,
,,8.50,,,33004647,,9,,8.75
,,5,,N1:5.20,33004648,4,7.40,7.50,6.75
7.50,7.50,,4.75,N1:5.60,33004649,,8.40,8,
,,,5.25,,33004650,,7.40,5.75,
,,8.75,,N1:4.60,33004651,4.75,9.40,5.75,8.50
,,,,,33004652,,,,
,,7.50,,,33004653,,8.80,,7.25
,,,4.75,,33004654,,7,5.25,
,,8,,N1:5.40,33004655,5.25,9,8.50,7
6.50,8.50,,5.50,N3:6.60,33004656,,6.40,8.25,
,,8.75,,N1:6.80,33004657,6.25,9.20,7.75,8.25
,,,5.25,,33004658,,5.80,5.75,
,,,5.25,,33004659,,6,4.50,
,,6,,N1:8.20,33004660,6.50,8.20,7.50,5.50
,,8.50,,N1:5.40,33004661,5.25,8.60,7,6.50
,,,3.50,,33004662,,2,6.25,
,,,2.50,,33004663,,2.60,4,
,,,4,,33004664,,4,5,
7.25,8,,9.25,N1:5.60,33004665,,8.60,8.25,
7,9.25,,5.25,N1:7.60,33004666,,8.40,8.25,
6.75,8.75,,5.25,N1:7,33004667,,9.20,9,
,,3,,,33004668,,2.60,,2.75
7,8.25,,6.75,N1:6.40,33004669,,7.60,6.50,
,,,7,,33004670,,6.80,8.17,
,,8.75,,N1:4,33004671,7.75,9,7.50,5.50
,,,5.25,,33004672,,6.80,6.50,
8,8.25,,4.50,N1:8.80,33004673,,8.20,8.25,
7,8.25,,3.50,N1:6.80,33004674,,8,8,
6.50,8.75,,6.25,N1:8,33004675,,7.80,8.25,
,,8.75,,N1:7.80,33004676,6.75,9,7,4.75
8.25,6.75,,3.50,N6:5.20,33004677,,7,6.50,
,,,5.75,,33004678,,6.40,7,
9,9.25,,7,N1:9.60,33004679,,7.80,7.50,
,,3.25,,N1:8,33004680,7,9.20,6,8.25
7.50,9.25,,6.50,N1:6.40,33004681,,7.80,8.75,
4,6.50,,3,N1:4.20,33004682,,7.40,7,
7.25,7.25,,4.75,N1:6,33004683,,8,8.25,
,,,4.75,,33004684,,1.40,4.50,
,,3.75,,N1:8.60,33004685,6,8.80,6.75,8.25
,,5.50,,N1:7.20,33004686,4.25,8.60,5.50,8.25
,,9,,N1:6.60,33004687,8.75,8.40,7,6.50
,,8,,N1:8,33004688,5.75,8.20,5.50,8
,,,8.25,,33004689,,8.20,8.25,
,,8.25,,N1:4,33004690,6,9.20,8,8
,,,3.50,,33004691,,7.40,5.50,
,,8,,N1:6.40,33004692,7.75,9,6.25,6.75
,,5.75,,N1:8.60,33004693,5,8.20,6.50,7.75
,,,8.50,,33004694,,6.60,6.75,
7.75,7.25,,6,N1:9.20,33004695,,7.80,6.25,
,,,6,,33004696,,8.40,7.50,
,,7.75,,N1:4,33004697,6,9.20,5.25,7.75
7.50,8.25,,5,N1:7.60,33004698,,8.80,8.50,
,,,5,,33004699,,8.20,3.75,
,,3.25,,N1:7.40,33004700,4.50,7.80,6.25,6.25
,,8.75,,N1:8,33004701,4.75,8,5.75,2.50
8,8.25,,4.25,N6:3.40,33004702,,6.20,6.75,
,,8,,N1:5.60,33004703,5,8.60,6.50,8.25
,,8.25,,N1:4.80,33004704,9,8.60,6.25,6.75
,,,8.25,,33004705,,5.20,7.50,
,,,8,,33004706,,8.20,7.75,
6.75,7,,5.50,N1:5.80,33004707,,6.20,6.75,
,,7,,N1:8.80,33004708,6.25,8.60,7.25,8
,,9.25,,N1:4.80,33004709,5,8.60,5,7.50
,,10,,N1:7.60,33004710,9,9.60,6.50,5.50
,,9.25,,N1:7,33004711,9,9,6.50,7.25
,,8.75,,N1:4.80,33004712,4.75,8.40,6,8
,,7.25,,N1:2.80,33004713,6.25,8.20,7,4.25
8.25,8.25,,5,N1:6.20,33004714,,8.80,8.25,
,,7.75,,N1:5.40,33004715,3.50,8.20,6.25,7.25
6.75,8,,3.50,N1:7,33004716,,8,7.25,
,,8.25,,N1:4.20,33004717,4.25,9,5.50,7.50
,,3.50,,N1:8.20,33004718,4.75,9,7.25,8.25
,,4,,N1:8.20,33004719,4.25,8,6.75,7.50
,,6.75,,N1:6.60,33004720,7,6.80,7,5.75
,,4.25,,N1:7.60,33004721,5.50,9.20,6.25,8
,,7,,N1:9.40,33004722,7,9,5.25,8.75
5.25,5.75,,5.50,N6:6.80,33004723,,7.20,8,
7,7.75,,3.50,N1:4.60,33004724,,3.40,6.75,
7.75,8.50,,7.50,N6:3,33004725,,7.40,6.75,
,,8,,N1:5.20,33004726,4.75,9.40,6.50,8.25
7.75,9,,7.25,N1:7,33004727,,7,6.25,
,,5.25,,N1:6.40,33004728,5.50,7,7,8.75
7.25,9,,9.25,N1:6.20,33004729,,8.60,7.75,
,,7.75,,N1:5.20,33004730,5,8.80,7.25,7.75
,,8.25,,N1:6,33004731,7.50,8.20,5.75,7.25
,,6.25,,N1:4.60,33004732,3,8,7,7.25
,,6.25,,N1:6.80,33004733,6.50,8.80,6.75,8
,,6,,N1:3,33004734,4,8.40,5.50,7.75
,,6,,N1:7.80,33004735,6,9.40,6.50,8.75
,,4.50,,N1:7.60,33004736,3.50,8.20,5.75,5.50
,,8.75,,N1:4.40,33004737,4.75,9.20,5,8.50
,,8.50,,N1:4.40,33004738,5.25,8,5.50,8.50
,,8,,N1:4.60,33004739,6.75,8.60,5.25,7.50
5.75,8.25,,5.25,N1:5,33004740,,7.60,6.50,
,,9.25,,N1:4.80,33004741,8.25,9.20,6.25,4.75
6.25,7.50,,3.75,N1:3.20,33004742,,6,6.50,
,,6.25,,N1:5.80,33004743,3.75,8.80,7,7.50
7,8.25,,5,N4:7.40,33004744,,8.60,9,
,,6.25,,N1:7.60,33004745,5,8.20,6.50,6.75
,,5.50,,N1:6.80,33004746,3.50,7.60,5.50,7.25
,,8.50,,N1:4.80,33004747,3.75,8.80,6.50,8.50
,,6.50,,N1:8.40,33004748,6,8.20,6.50,7.25
,,4.25,,N1:6.60,33004749,3.75,7.60,5.25,6.25
6.50,7.25,,4.25,N1:8,33004750,,8.60,8,
,,8.75,,N1:6.60,33004751,4,7.80,5.75,5
,,6.75,,N1:3.20,33004752,5.25,8,5.50,5.50
